id,set_name,number,rarity,character,title,popularity,popularity_factor,value_yuan
3013,NS-01,029,SR,Takagi-san,Teasing Master Takagi-san,common,1.02,0.10
3014,NS-01,030,SR,Kikyou,Inuyasha,common,1.05,0.11
3015,NS-01,031,SR,Mai Sakurajima,Rascal Does Not Dream Of Bunny Girl Senpai,common,1.01,0.10
3016,NS-01,032,SR,Kagamine Rin,Vocaloid,common,1.05,0.11
3017,NS-01,033,SR,Sakura Kinomoto,Cardcaptor Sakura,common,1.02,0.10
3018,NS-01,034,SR,Akemi Homura,Puella Magi Madoka Magica,common,1.05,0.11
3019,NS-01,035,SR,Hatsune Miku,Vocaloid,common,1.02,0.10
3020,NS-01,036,SR,Usagi Tsukino (Sailor Moon),Sailor Moon,common,1.02,0.10
3021,NS-01,037,SR,Eriri Spencer Sawamura,Saekano: How to Raise a Boring Girlfriend,common,1.05,0.11
3022,NS-01,038,SR,Megurine Luka,Vocaloid,common,1.00,0.10
3023,NS-01,039,SR,Chika Fujiwara,Kaguya-sama: Love is War,epic,3.41,0.34
3024,NS-01,040,SR,Honghong Tushan,Fox Spirit Matchmaker,common,1.03,0.10
3025,NS-01,041,SR,Mumei,Kabaneri of the Iron Fortress,epic,3.51,0.35
3026,NS-01,042,SR,Nezuko Kamado,Demon Slayer (Kimetsu no Yaiba),epic,3.52,0.35
3027,NS-01,043,SR,Luo Tianyi (Tanabata),Vocaloid,common,1.00,0.10
3028,NS-01,044,SR,Platelet,Cells at Work!,common,1.02,0.10
3029,NS-01,045,SR,Lacus Clyne,Gundam,common,1.00,0.10
3030,NS-01,046,SR,Umaru Doma,Himouto! Umaru-chan,common,1.04,0.10
3031,NS-01,047,SR,Rize Kamishiro,Tokyo Ghoul,rare,2.00,0.20
3032,NS-01,048,SR,Alice Zuberg,Sword Art Online,rare,1.54,0.15
3033,NS-01,049,SR,Rem,Re:Zero,epic,4.22,0.42
3034,NS-01,050,SR,Meiko,Vocaloid,common,1.02,0.10
3035,NS-01,051,SR,Albedo,Overlord,common,1.03,0.10
3036,NS-01,052,SR,Umi Sonoda,Love Live!,common,1.00,0.10
3037,NS-01,053,SR,Rei Ayanami,Evangelion,common,1.02,0.10
3038,NS-01,054,SR,Kanade Tachibana,Angel Beats!,common,1.03,0.10
3039,NS-01,055,R,Ayase Shinomiya,Guilty Crown,common,1.02,0.01
3040,NS-01,056,R,Yuezheng Ling,VSinger,common,1.00,0.01
3041,NS-01,057,R,Yanhe,VSinger,common,1.05,0.01
3042,NS-01,058,R,Shinka Nibutani,"Love, Chunibyo & Other Delusions!",common,1.03,0.01
3043,NS-01,059,R,Tohka Yatogami,Date A Live,common,1.04,0.01
3044,NS-01,060,R,Tenka Yatogami,Date A Live,common,1.02,0.01
3045,NS-01,061,R,Yoshino Himekawa,Date A Live,common,1.00,0.01
3046,NS-01,062,R,Genkai,Yu Yu Hakusho,rare,1.78,0.02
3047,NS-01,063,R,Kasane Teto,Vocaloid,common,1.05,0.01
3048,NS-01,064,R,Mashiro Shiina,The Pet Girl of Sakurasou,common,1.02,0.01
3049,NS-01,065,R,Tae Shimura,Gintama,common,1.05,0.01
3050,NS-01,066,R,Ayame Sarutobi,Gintama,common,1.04,0.01
3051,NS-01,067,R,Shirakami Fubuki,Hololive,common,1.03,0.01
3052,NS-01,068,R,Tsukuyo,Gintama,common,1.03,0.01
3053,NS-01,069,R,Hiyori Iki,Noragami,common,1.03,0.01
3054,NS-01,070,R,Erza Scarlet,Fairy Tail,common,1.00,0.01
3055,NS-01,071,R,Nino Nakano,The Quintessential Quintuplets,common,1.02,0.01
3056,NS-01,072,R,Ichika Nakano,The Quintessential Quintuplets,common,1.05,0.01
3057,NS-01,073,R,Miku Nakano,The Quintessential Quintuplets,common,1.05,0.01
3058,NS-01,074,R,Yotsuba Nakano,The Quintessential Quintuplets,common,1.03,0.01
3059,NS-01,075,R,Itsuki Nakano,The Quintessential Quintuplets,common,1.05,0.01
3060,NS-01,076,R,Yui Yuigahama,My Youth Romantic Comedy Is Wrong As I Expected,common,1.02,0.01
3061,NS-01,077,R,Chitoge Kirisaki,Nisekoi,common,1.02,0.01
3062,NS-01,078,R,Kosaki Onodera,Nisekoi,common,1.02,0.01
3063,NS-01,079,R,Megumin,God's Blessing on this Wonderful World! (KonoSuba),epic,4.17,0.04
3064,NS-01,080,R,Aqua,God's Blessing on this Wonderful World! (KonoSuba),epic,3.93,0.04
3065,NS-01,081,R,Yoko Littner,Gurren Lagann,common,1.03,0.01
3066,NS-01,082,R,Rukia Kuchiki,Bleach,epic,4.04,0.04
3067,NS-01,083,R,Orihime Inoue,Bleach,epic,3.28,0.03
3068,NS-01,084,R,Megumi Tadokoro,Food Wars! Shokugeki no Soma,common,1.00,0.01
3069,NS-01,085,R,Yui Hirasawa,K-On!,common,1.04,0.01
3070,NS-01,086,R,Mio Akiyama,K-On!,common,1.01,0.01
3071,NS-01,087,R,Ritsu Tainaka,K-On!,common,1.04,0.01
3072,NS-01,088,R,Tsumugi Kotobuki,K-On!,common,1.02,0.01
3073,NS-01,089,R,Azusa Nakano,K-On!,common,1.03,0.01
3074,NS-01,090,R,Rio Futaba,Rascal Does Not Dream Of Bunny Girl Senpai,common,1.04,0.01
3075,NS-01,091,R,Kokomi Teruhashi,The Disastrous Life of Saiki K,rare,1.63,0.02
3076,NS-01,092,R,Shinobu Kochou,Demon Slayer (Kimetsu no Yaiba),epic,3.04,0.03
3077,NS-01,093,R,Mitsuha Miyamizu,Your Name,common,1.05,0.01
3078,NS-01,094,R,Tomoyo Daidouji,Cardcaptor Sakura,common,1.00,0.01
3079,NS-01,095,R,Sayaka Miki,Puella Magi Madoka Magica,common,1.02,0.01
3080,NS-01,096,R,Mami Tomoe,Puella Magi Madoka Magica,common,1.05,0.01
3081,NS-01,097,R,Kyouko Sakura,Puella Magi Madoka Magica,common,1.00,0.01
3082,NS-01,098,R,Nanaho Takamachi,Magical Girl Lyrical Nanoha,common,1.02,0.01
3083,NS-01,099,R,Fate Testarossa,Magical Girl Lyrical Nanoha,common,1.03,0.01
3084,NS-01,100,R,Mayuri Shiina,Steins; Gate,rare,1.66,0.02
3085,NS-01,101,R,Sakura Haruno,Naruto Series,epic,4.20,0.04
3086,NS-01,102,R,Luo Tianyi,Vocaloid,common,1.01,0.01
3087,NS-01,103,R,Ami Mizuno (Sailor Mercury),Sailor Moon,common,1.02,0.01
3088,NS-01,104,R,Rei Hino (Sailor Mars),Sailor Moon,common,1.01,0.01
3089,NS-01,105,R,Megumi Kato,Saekano: How to Raise a Boring Girlfriend,common,1.04,0.01
3090,NS-01,106,R,Utaha Kasumigaoka,Saekano: How to Raise a Boring Girlfriend,common,1.00,0.01
3091,NS-01,107,R,Michiru Hyodo,Saekano: How to Raise a Boring Girlfriend,common,1.03,0.01
3092,NS-01,108,R,Izumi Hashima,Saekano: How to Raise a Boring Girlfriend,common,1.02,0.01
3093,NS-01,109,R,Yuki Nagato,The Melancholy of Haruhi Suzumiya,common,1.03,0.01
3094,NS-01,110,R,Tomoe Yukishiro,Rurouni Kenshin,common,1.03,0.01
3095,NS-01,111,R,Shiki Ryougi,Kara no Kyoukai,common,1.02,0.01
3096,NS-01,112,R,Kuroko Shirai,A Certain Magical Index (Toaru Kagaku no Railgun),common,1.04,0.01
3097,NS-01,113,R,Uiharu Kazari,A Certain Magical Index (Toaru Kagaku no Railgun),common,1.00,0.01
3098,NS-01,114,R,Ruiko Saten,A Certain Magical Index (Toaru Kagaku no Railgun),common,1.03,0.01
3099,NS-01,115,R,Mirai Kuriyama,Beyond the Boundary,common,1.01,0.01
3100,NS-01,116,R,Mitsuki Nase,Beyond the Boundary,common,1.05,0.01
3101,NS-01,117,R,Kagura Mea,VTuber,common,1.05,0.01
3102,NS-01,118,R,Miko Iino,Kaguya-sama: Love is War,epic,3.72,0.04
3103,NS-01,119,R,Ai Hayasaka,Kaguya-sama: Love is War,epic,4.81,0.05
3104,NS-01,120,R,Akame,Akame Ga Kill!,rare,1.64,0.02
3105,NS-01,121,R,Susu Tushan,Fox Spirit Matchmaker,common,1.02,0.01
3106,NS-01,122,R,Minato Aqua,Hololive,common,1.03,0.01
3107,NS-01,123,R,Ino Yamanaka,Naruto Series,epic,4.55,0.05
3108,NS-01,124,R,Luo Tianyi,Vocaloid,common,1.04,0.01
3109,NS-01,125,R,Calne Ca,Vocaloid,common,1.02,0.01
3110,NS-01,126,R,Rena Ryugu,When they Cry (Higurashi no Naku Koro ni),common,1.01,0.01
3111,NS-01,127,R,Hatsune Miku,Vocaloid,common,1.04,0.01
3112,NS-01,128,R,Natsuiro Matsuri,Hololive,common,1.02,0.01
3113,NS-01,129,R,Euphemia Li Britannia,Code Geass,common,1.02,0.01
3114,NS-01,130,R,Hanabi Hyuga,Naruto Series,epic,4.64,0.05
3115,NS-01,131,R,Raphtalia,The Rising of the Shield Hero,epic,3.25,0.03
3116,NS-01,132,R,Filo,The Rising of the Shield Hero,rare,1.77,0.02
3117,NS-01,133,R,Touka Kirishima,Tokyo Ghoul,rare,1.97,0.02
3118,NS-01,134,R,Suguha Kirigaya,Sword Art Online,rare,1.89,0.02
3119,NS-01,135,R,Shino Asada,Sword Art Online,rare,1.62,0.02
3120,NS-01,136,R,Konno Yuuki,Sword Art Online,rare,1.59,0.02
3121,NS-01,137,R,Emilia,Re:Zero,epic,3.71,0.04
3122,NS-01,138,R,Ram,Re:Zero,epic,3.53,0.04
3123,NS-01,139,R,Shalltear,Overlord,common,1.03,0.01
3124,NS-01,140,R,Hatsune Miku,Vocaloid,common,1.04,0.01
3125,NS-01,141,R,Kotori Minami,Love Live!,common,1.03,0.01
3126,NS-01,142,R,Honoka Kousaka,Love Live!,common,1.03,0.01
3127,NS-01,143,R,Eli Ayase,Love Live!,common,1.01,0.01
3128,NS-01,144,R,Nozomi Tojo,Love Live!,common,1.05,0.01
3129,NS-01,145,R,Rin Hoshizora,Love Live!,common,1.03,0.01
3130,NS-01,146,R,Hanayo Koizumi,Love Live!,common,1.02,0.01
3131,NS-01,147,R,Nico Yazawa,Love Live!,common,1.01,0.01
3132,NS-01,148,R,Rin Tohsaka,Fate Series,common,1.04,0.01
3133,NS-01,149,R,Sakura Matou,Fate Series,common,1.03,0.01
3134,NS-01,150,R,Illyasviel von Einzbern,Fate Series,common,1.04,0.01
3135,NS-01,151,R,Jeanne d'Arc (Alter),Fate Series,common,1.03,0.01
3136,NS-01,152,R,Mari Makinami Illustrious,Evangelion,common,1.01,0.01
3137,NS-01,153,R,Nao Tomori,Charlotte,common,1.00,0.01
3138,NS-01,154,R,Yuri Nakamura,Angel Beats!,common,1.03,0.01
3139,NS-02,001,SSR,Asuka Shikinami Langley,Evangelion,common,1.04,2.60
3140,NS-02,002,SSR,Misato Katsuragi,Evangelion,common,1.02,2.55
3141,NS-02,003,SSR,Megumi Kato,Saekano: How to Raise a Boring Girlfriend,common,1.02,2.55
3142,NS-02,004,SSR,Kanade Tachibana,Angel Beats!,common,1.00,2.50
3143,NS-02,005,SSR,Mirai Kuriyama,Beyond the Boundary,common,1.03,2.58
3144,NS-02,006,SSR,Shiki Ryougi,Kara no Kyoukai,common,1.03,2.58
3145,NS-02,007,SSR,Mashu Kyrielight,Fate Series,common,1.00,2.50
3146,NS-02,008,SSR,Meiko Honma,The Flower We Saw That Day,common,1.04,2.60
3147,NS-02,009,SSR,Kurisu Makise,Steins; Gate,epic,4.66,11.65
3148,NS-02,010,SSR,Nero Claudius,Fate Series,common,1.04,2.60
3149,NS-02,011,SSR,Shinobu Oshino,Monogatari Series,common,1.05,2.63
3150,NS-02,012,SSR,Violet Evergarden,Violet Evergarden,common,1.00,2.50
3151,NS-02,013,SSR,Mumei,Kabaneri of the Iron Fortress,epic,3.03,7.57
3152,NS-02,014,SSR,Shana,Shakugan no Shana,common,1.01,2.53
3153,NS-02,015,SSR,Rikka Takanashi,"Love, Chunibyo & Other Delusions!",common,1.00,2.50
3154,NS-02,016,SSR,Platelet,Cells at Work!,common,1.01,2.53
3155,NS-02,017,SSR,Mashiro Shiina,The Pet Girl of Sakurasou,common,1.02,2.55
3156,NS-02,018,SSR,Chiyo Sakura,Monthly Girl's Nozaki-kun,common,1.01,2.53
3157,NS-02,019,SR,2B,NieR: Automata,epic,4.09,0.41
3158,NS-02,020,SR,Rikka Takarada,SSSS.GRIDMAN,common,1.05,0.11
3159,NS-02,021,SR,Filo,The Rising of the Shield Hero,rare,1.69,0.17
3160,NS-02,022,SR,Taiga Aisaka,Toradora,common,1.00,0.10
3161,NS-02,023,SR,Takagi-san,Teasing Master Takagi-san,common,1.04,0.10
3162,NS-02,024,SR,Holo,Spice & Wolf,common,1.04,0.10
3163,NS-02,025,SR,Hestia,Is It Wrong to Try to Pick Up Girls in a Dungeon?,common,1.01,0.10
3164,NS-02,026,SR,Megumin,God's Blessing on this Wonderful World! (KonoSuba),epic,3.24,0.32
3165,NS-02,027,SR,Louise,The Familiar of Zero,common,1.05,0.11
3166,NS-02,028,SR,Sayaka Miki,Puella Magi Madoka Magica,common,1.02,0.10
3167,NS-02,029,SR,Nezuko Kamado,Demon Slayer (Kimetsu no Yaiba),epic,4.60,0.46
3168,NS-02,030,SR,Kyou Fujibayashi,Clannad,common,1.05,0.11
3169,NS-02,031,SR,Tohru,Miss Kobayashi's Dragon Maid,epic,3.21,0.32
3170,NS-02,032,SR,Yukino Yukinoshita,My Youth Romantic Comedy Is Wrong As I Expected,common,1.05,0.11
3171,NS-02,033,SR,Inori Yuzuriha,Guilty Crown,common,1.01,0.10
3172,NS-02,034,SR,Yami,To LOVE-Ru,common,1.00,0.10
3173,NS-02,035,SR,Illyasviel von Einzbern,Fate Series,common,1.05,0.11
3174,NS-02,036,SR,Misaka Mikoto,A Certain Magical Index (Toaru Kagaku no Railgun),common,1.03,0.10
3175,NS-02,037,SR,Popura Taneshima,Working!!,common,1.02,0.10
3176,NS-02,038,SR,Reimu Hakurei,Touhou Project,common,1.04,0.10
3177,NS-02,039,SR,Remilia Scarlet,Touhou Project,common,1.01,0.10
3178,NS-02,040,SR,Flandre Scarlet,Touhou Project,common,1.02,0.10
3179,NS-02,041,SR,Sakuya Izayoi,Touhou Project,common,1.03,0.10
3180,NS-02,042,SR,Hong Meiling,Touhou Project,common,1.01,0.10
3181,NS-02,043,SR,Suika Ibuki,Touhou Project,common,1.02,0.10
3182,NS-02,044,SR,Kaguya Shinomiya,Kaguya-sama: Love is War,epic,4.67,0.47
3183,NS-02,045,SR,Chika Fujiwara,Kaguya-sama: Love is War,epic,3.93,0.39
3184,NS-02,046,SR,Miko Iino,Kaguya-sama: Love is War,epic,3.72,0.37
3185,NS-02,047,SR,Ai Hayasaka,Kaguya-sama: Love is War,epic,3.00,0.30
3186,NS-02,048,SR,Kei Shirogane,Kaguya-sama: Love is War,epic,3.60,0.36
3187,NS-02,049,SR,Konata Izumi,Lucky☆Star,common,1.04,0.10
3188,NS-02,050,SR,Kagami Hiiragi,Lucky☆Star,common,1.02,0.10
3189,NS-02,051,SR,Tsukasa Hiiragi,Lucky☆Star,common,1.03,0.10
3190,NS-02,052,SR,Miyuki Takara,Lucky☆Star,common,1.00,0.10
3191,NS-02,053,SR,Sagiri Izumi,Eromanga Sensei,common,1.03,0.10
3192,NS-02,054,SR,Elf Yamada,Eromanga Sensei,common,1.00,0.10
3193,NS-02,055,R,Zero Two,Darling in the Franxx,epic,4.96,0.05
3194,NS-02,056,R,Asseylum Vers Allusia,Aldnoah.Zero,common,1.04,0.01
3195,NS-02,057,R,Esdeath,Akame Ga Kill!,epic,3.13,0.03
3196,NS-02,058,R,Aki Adagaki,Masamune-kun's Revenge,common,1.02,0.01
3197,NS-02,059,R,Celestia Ludenberg,Danganronpa,common,1.05,0.01
3198,NS-02,060,R,Shimakaze,Kantai Collection,common,1.03,0.01
3199,NS-02,061,R,D.Va,Overwatch,common,1.04,0.01
3200,NS-02,062,R,Black Rock Shooter,Black Rock Shooter,common,1.01,0.01
3201,NS-02,063,R,Hime Goto,Kakushigoto,common,1.02,0.01
3202,NS-02,064,R,Chtholly Nota Seniorious,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,common,1.00,0.01
3203,NS-02,065,R,Ram,Re:Zero,epic,3.58,0.04
3204,NS-02,066,R,Lillie,Pokemon,common,1.04,0.01
3205,NS-02,067,R,Luo Tianyi,Vocaloid,common,1.04,0.01
3206,NS-02,068,R,Eru Chitanda,Hyouka,common,1.00,0.01
3207,NS-02,069,R,Mikasa Ackerman,Attack on Titan,epic,3.45,0.03
3208,NS-02,070,R,Erio Touwa,Ground Control to Psychoelectric Girl,common,1.00,0.01
3209,NS-02,071,R,Ruri Gokou,OreImo,common,1.00,0.01
3210,NS-02,072,R,Atsuko Kagari,Little Witch Academia,common,1.01,0.01
3211,NS-02,073,R,Aria H Kanzaki,Aria the Scarlet Ammo,common,1.03,0.01
3212,NS-02,074,R,Kotoko Iwanaga,In/Spectre,common,1.00,0.01
3213,NS-02,075,R,Elaina,The Journey of Elaina,common,1.00,0.01
3214,NS-02,076,R,Mai Sakurajima,Rascal Does Not Dream Of Bunny Girl Senpai,common,1.04,0.01
3215,NS-02,077,R,Yui Yuigahama,My Youth Romantic Comedy Is Wrong As I Expected,common,1.03,0.01
3216,NS-02,078,R,Rin Tohsaka,Fate Series,common,1.01,0.01
3217,NS-02,079,R,Yuki Nagato,The Melancholy of Haruhi Suzumiya,common,1.00,0.01
3218,NS-02,080,R,Rory Mercury,GATE,common,1.05,0.01
3219,NS-02,081,R,Yozuru Kagenui,Monogatari Series,common,1.05,0.01
3220,NS-02,082,R,Izuko Gaen,Monogatari Series,common,1.02,0.01
3221,NS-02,083,R,C.C.,Code Geass,common,1.03,0.01
3222,NS-02,084,R,Euphemia Li Britannia,Code Geass,common,1.04,0.01
3223,NS-02,085,R,Ai Hinatsuru,The Ryuo's Work is Never Done,common,1.01,0.01
3224,NS-02,086,R,Ginko Sora,The Ryuo's Work is Never Done,common,1.03,0.01
3225,NS-02,087,R,Sakura Kinomoto,Cardcaptor Sakura,common,1.05,0.01
3226,NS-02,088,R,Tomoyo Daidouji,Cardcaptor Sakura,common,1.04,0.01
3227,NS-02,089,R,Akagi,Azur Lane,common,1.03,0.01
3228,NS-02,090,R,Kaga,Azur Lane,common,1.03,0.01
3229,NS-02,091,R,Kyouka Hikawa,Princess Connect Re:Dive,common,1.02,0.01
3230,NS-02,092,R,Kokoro Natsume (Kokkoro),Princess Connect Re:Dive,common,1.02,0.01
3231,NS-02,093,R,Asuna Yuuki,Sword Art Online,legendary,14.27,0.14
3232,NS-02,094,R,Suguha Kirigaya,Sword Art Online,rare,1.62,0.02
3233,NS-02,095,R,Marisa Kirisame,Touhou Project,common,1.05,0.01
3234,NS-02,096,R,Alice Margatroid,Touhou Project,common,1.03,0.01
3235,NS-02,097,R,Ran Yakumo,Touhou Project,common,1.01,0.01
3236,NS-02,098,R,Yuyuko Saigyouji,Touhou Project,common,1.02,0.01
3237,NS-02,099,R,Youmu Konpaku,Touhou Project,common,1.02,0.01
3238,NS-02,100,R,Honoka Kousaka,Love Live!,common,1.04,0.01
3239,NS-02,101,R,Kotori Minami,Love Live!,common,1.01,0.01
3240,NS-02,102,R,Umi Sonoda,Love Live!,common,1.02,0.01
3241,NS-02,103,R,Eli Ayase,Love Live!,common,1.02,0.01
3242,NS-02,104,R,Nozomi Tojo,Love Live!,common,1.01,0.01
3243,NS-02,105,R,Maki Nishikino,Love Live!,common,1.01,0.01
3244,NS-02,106,R,Rin Hoshizora,Love Live!,common,1.03,0.01
3245,NS-02,107,R,Hanayo Koizumi,Love Live!,common,1.02,0.01
3246,NS-02,108,R,Nico Yazawa,Love Live!,common,1.00,0.01
3247,NS-02,109,R,Chika Takami,Love Live!,common,1.02,0.01
3248,NS-02,110,R,Riko Sakurauchi,Love Live!,common,1.05,0.01
3249,NS-02,111,R,Kanan Matsuura,Love Live!,common,1.04,0.01
3250,NS-02,112,R,Dia Kurosawa,Love Live!,common,1.03,0.01
3251,NS-02,113,R,You Watanabe,Love Live!,common,1.00,0.01
3252,NS-02,114,R,Yoshiko Tsushima,Love Live!,common,1.03,0.01
3253,NS-02,115,R,Hanamaru Kunikida,Love Live!,common,1.05,0.01
3254,NS-02,116,R,Mari Ohara,Love Live!,common,1.01,0.01
3255,NS-02,117,R,Ruby Kurosawa,Love Live!,common,1.02,0.01
3256,NS-02,118,R,Ayumu Uehara,Love Live!,common,1.00,0.01
3257,NS-02,119,R,Kasumi Nakasu,Love Live!,common,1.01,0.01
3258,NS-02,120,R,Shizuku Osaka,Love Live!,common,1.00,0.01
3259,NS-02,121,R,Karin Asaka,Love Live!,common,1.04,0.01
3260,NS-02,122,R,Ai Miyashita,Love Live!,common,1.02,0.01
3261,NS-02,123,R,Kanata Konoe,Love Live!,common,1.00,0.01
3262,NS-02,124,R,Emma Verde,Love Live!,common,1.05,0.01
3263,NS-02,125,R,Setsuna Yuuki,Love Live!,common,1.04,0.01
3264,NS-02,126,R,Rina Tennouji,Love Live!,common,1.00,0.01
3265,NS-03,001,SSR,Zero Two,Darling in the Franxx,epic,3.73,9.32
3266,NS-03,002,SSR,Kaori Miyazono,Your Lie in April,common,1.02,2.55
3267,NS-03,003,SSR,Shiro,No Game No Life,rare,1.60,4.00
3268,NS-03,004,SSR,Amiya,Arknights,common,1.04,2.60
3269,NS-03,005,SSR,Keqing,Genshin Impact,common,1.05,2.63
3270,NS-03,006,SSR,Alice Zuberg,Sword Art Online,rare,1.86,4.65
3271,NS-03,007,SSR,Kaguya Shinomiya,Kaguya-sama: Love is War,epic,4.70,11.75
3272,NS-03,008,SSR,Akemi Homura,Puella Magi Madoka Magica,common,1.02,2.55
3273,NS-03,009,SSR,Asuna Yuuki,Sword Art Online,legendary,12.77,31.92
3274,NS-03,010,SSR,Rin Tohsaka,Fate Series,common,1.01,2.53
3275,NS-03,011,SSR,Sakura Matou,Fate Series,common,1.02,2.55
3276,NS-03,012,SSR,Violet Evergarden,Violet Evergarden,common,1.05,2.63
3277,NS-03,013,SSR,Kanna Kamui,Miss Kobayashi's Dragon Maid,epic,4.20,10.50
3278,NS-03,014,SSR,Ranko Kanzaki,The Idolm@ster,common,1.03,2.58
3279,NS-03,015,SSR,Umaru Doma,Himouto! Umaru-chan,common,1.04,2.60
3280,NS-03,016,SSR,Eris Boreas Greyrat,Mushoku Tensei: Jobless Reincarnation,rare,1.60,4.00
3281,NS-03,017,SSR,Platelet,Cells at Work!,common,1.04,2.60
3282,NS-03,018,SSR,Chiyo Sakura,Monthly Girl's Nozaki-kun,common,1.04,2.60
3283,NS-03,019,SR,2B,NieR: Automata,epic,3.94,0.39
3284,NS-03,020,SR,Altair,Re:CREATORS,common,1.01,0.10
3285,NS-03,021,SR,Mikuru Asahina,The Melancholy of Haruhi Suzumiya,common,1.03,0.10
3286,NS-03,022,SR,Eve,Gundam Build Divers Re:Rise,common,1.05,0.11
3287,NS-03,023,SR,Fumino Furuhashi,We Never Learn!: Bokuben,common,1.01,0.10
3288,NS-03,024,SR,Shinobu Kochou,Demon Slayer (Kimetsu no Yaiba),epic,3.81,0.38
3289,NS-03,025,SR,Ginko Sora,The Ryuo's Work is Never Done,common,1.02,0.10
3290,NS-03,026,SR,Lillie,Pokemon,common,1.05,0.11
3291,NS-03,027,SR,Ristarte,The Hero is Overpowered but Overly Cautious,epic,3.18,0.32
3292,NS-03,028,SR,Kanao Tsuyuri,Demon Slayer (Kimetsu no Yaiba),epic,3.71,0.37
3293,NS-03,029,SR,Lyria,Granblue Fantasy,common,1.03,0.10
3294,NS-03,030,SR,Meidri,Interspecies Reviewers,common,1.04,0.10
3295,NS-03,031,SR,Abigail Williams,Fate Series,common,1.05,0.11
3296,NS-03,032,SR,Mashu Kyrielight,Fate Series,common,1.00,0.10
3297,NS-03,033,SR,Jeanne d'Arc,Fate Series,common,1.00,0.10
3298,NS-03,034,SR,Medusa,Fate Series,common,1.00,0.10
3299,NS-03,035,SR,Meiko Honma,The Flower We Saw That Day,common,1.00,0.10
3300,NS-03,036,SR,Rosa,Pokemon,common,1.01,0.10
3301,NS-03,037,SR,Shouko Makinohara,Rascal Does Not Dream Of Bunny Girl Senpai,common,1.00,0.10
3302,NS-03,038,SR,Nyaruko,Nyaruko: Crawling with Love!,common,1.00,0.10
3303,NS-03,039,SR,Yui Hirasawa,K-On!,common,1.00,0.10
3304,NS-03,040,SR,Konata Izumi,Lucky☆Star,common,1.01,0.10
3305,NS-03,041,SR,Rachel Gardner,Angels of Death,common,1.05,0.11
3306,NS-03,042,SR,Aoi Yamada,Working!!,common,1.02,0.10
3307,NS-03,043,SR,Erio Touwa,Ground Control to Psychoelectric Girl,common,1.03,0.10
3308,NS-03,044,SR,Yukino Yukinoshita,My Youth Romantic Comedy Is Wrong As I Expected,common,1.05,0.11
3309,NS-03,045,SR,Iroha Isshiki,My Youth Romantic Comedy Is Wrong As I Expected,common,1.05,0.11
3310,NS-03,046,SR,Youmu Konpaku,Touhou Project,common,1.00,0.10
3311,NS-03,047,SR,Marisa Kirisame,Touhou Project,common,1.04,0.10
3312,NS-03,048,SR,Tae Yamada,Zombieland Saga,common,1.01,0.10
3313,NS-03,049,SR,Sakura Minamoto,Zombieland Saga,common,1.02,0.10
